Tester_Strain,Tailocin_donor_strain,Rep1,Rep2,Rep3,Final_numeric,Final_qualitative
p8.B9,p21.F9,R,R,R,0,Resistant
p8.B9,p21.F9 no MMC,R,R,R,0,Resistant
p8.B9,p25.C2,R,R,R,0,Resistant
p8.B9,p25.C2 no MMC,R,R,R,0,Resistant
p8.B9,p5.D5,R,R,R,0,Resistant
p8.B9,p5.D5 no MMC,R,R,R,0,Resistant
p8.B9,p26.D6,R,R,R,0,Resistant
p8.B9,p26.D6 no MMC,R,R,R,0,Resistant
p8.B9,p23.B8,R,R,R,0,Resistant
p8.B9,p23.B8 no MMC,R,R,R,0,Resistant
p8.B9,p25.A12,S,S,S,9,Sensitive
p8.B9,p25.A12 no MMC,O,R,R,1,Partially Sensitive
p8.B9,p25.A12 KO,R,R,R,0,Resistant
p8.B9,p25.A12 KO no MMC,R,R,R,0,Resistant
p25.A12 KO,p21.F9,R,R,R,0,Resistant
p25.A12 KO,p21.F9 no MMC,R,R,R,0,Resistant
p25.A12 KO,p25.C2,O,R,R,1,Partially Sensitive
p25.A12 KO,p25.C2 no MMC,R,R,R,0,Resistant
p25.A12 KO,p5.D5,O,R,R,1,Partially Sensitive
p25.A12 KO,p5.D5 no MMC,R,R,R,0,Resistant
p25.A12 KO,p26.D6,O,R,R,1,Partially Sensitive
p25.A12 KO,p26.D6 no MMC,R,R,R,0,Resistant
p25.A12 KO,p23.B8,O,R,R,1,Partially Sensitive
p25.A12 KO,p23.B8 no MMC,R,R,R,0,Resistant
p25.A12 KO,p25.A12,O,R,R,1,Partially Sensitive
p25.A12 KO,p25.A12 no MMC,R,R,R,0,Resistant
p25.A12 KO,p25.A12 KO,O,R,R,1,Partially Sensitive
p25.A12 KO,p25.A12 KO no MMC,R,R,R,0,Resistant
p25.B2,p21.F9,R,O,R,1,Partially Sensitive
p25.B2,p21.F9 no MMC,R,R,R,0,Resistant
p25.B2,p25.C2,R,O,R,1,Partially Sensitive
p25.B2,p25.C2 no MMC,R,R,R,0,Resistant
p25.B2,p5.D5,O,O,R,2,Partially Sensitive
p25.B2,p5.D5 no MMC,R,R,R,0,Resistant
p25.B2,p26.D6,R,O,R,1,Partially Sensitive
p25.B2,p26.D6 no MMC,R,R,R,0,Resistant
p25.B2,p23.B8,R,O,R,1,Partially Sensitive
p25.B2,p23.B8 no MMC,R,R,R,0,Resistant
p25.B2,p25.A12,O,S,S,7,Sensitive
p25.B2,p25.A12 no MMC,R,SC,O,3,Partially Sensitive
p25.B2,p25.A12 KO,R,R,R,0,Resistant
p25.B2,p25.A12 KO no MMC,R,R,R,0,Resistant
p21.F9,p21.F9,R,R,NA,0,Resistant
p21.F9,p21.F9 no MMC,R,R,NA,0,Resistant
p21.F9,p25.C2,R,R,NA,0,Resistant
p21.F9,p25.C2 no MMC,R,R,NA,0,Resistant
p21.F9,p5.D5,R,R,NA,0,Resistant
p21.F9,p5.D5 no MMC,R,R,NA,0,Resistant
p21.F9,p26.D6,R,phage,NA,NA,NA
p21.F9,p26.D6 no MMC,R,R,NA,0,Resistant
p21.F9,p23.B8,R,R,NA,0,Resistant
p21.F9,p23.B8 no MMC,R,R,NA,0,Resistant
p21.F9,p25.A12,R,S,NA,3,Partially Sensitive
p21.F9,p25.A12 no MMC,R,O,NA,1,Partially Sensitive
p21.F9,p25.A12 KO,R,R,NA,0,Resistant
p21.F9,p25.A12 KO no MMC,R,R,NA,0,Resistant
p5.C1,p21.F9,R,R,R,0,Resistant
p5.C1,p21.F9 no MMC,R,R,R,0,Resistant
p5.C1,p25.C2,O,R,R,1,Partially Sensitive
p5.C1,p25.C2 no MMC,R,R,R,0,Resistant
p5.C1,p5.D5,O,R,R,1,Partially Sensitive
p5.C1,p5.D5 no MMC,R,R,R,0,Resistant
p5.C1,p26.D6,phage,phage,phage,NA,NA
p5.C1,p26.D6 no MMC,S,R,S,6,Mostly Sensitive
p5.C1,p23.B8,O,R,R,1,Partially Sensitive
p5.C1,p23.B8 no MMC,R,R,R,0,Resistant
p5.C1,p25.A12,S,S,S,9,Sensitive
p5.C1,p25.A12 no MMC,O,R,R,1,Partially Sensitive
p5.C1,p25.A12 KO,R,R,R,0,Resistant
p5.C1,p25.A12 KO no MMC,R,R,R,0,Resistant
p26.D6,p21.F9,R,S,S,6,Mostly Sensitive
p26.D6,p21.F9 no MMC,R,S,R,3,Partially Sensitive
p26.D6,p25.C2,R,S,O,4,Mostly Sensitive
p26.D6,p25.C2 no MMC,R,R,R,0,Resistant
p26.D6,p5.D5,O,S,S,7,Sensitive
p26.D6,p5.D5 no MMC,R,O,R,1,Partially Sensitive
p26.D6,p26.D6,R,S,O,4,Mostly Sensitive
p26.D6,p26.D6 no MMC,R,O,R,1,Partially Sensitive
p26.D6,p23.B8,R,S,O,4,Mostly Sensitive
p26.D6,p23.B8 no MMC,R,R,R,0,Resistant
p26.D6,p25.A12,S,S,S,9,Sensitive
p26.D6,p25.A12 no MMC,R,R,O,1,Partially Sensitive
p26.D6,p25.A12 KO,O,R,R,1,Partially Sensitive
p26.D6,p25.A12 KO no MMC,R,R,R,0,Resistant
p6.A10,p21.F9,S,O,S,7,Sensitive
p6.A10,p21.F9 no MMC,R,O,R,1,Partially Sensitive
p6.A10,p25.C2,O,O,O,3,Partially Sensitive
p6.A10,p25.C2 no MMC,R,R,R,0,Resistant
p6.A10,p5.D5,O,R,O,2,Partially Sensitive
p6.A10,p5.D5 no MMC,R,R,R,0,Resistant
p6.A10,p26.D6,phage,S,phage,NA,NA
p6.A10,p26.D6 no MMC,R,R,R,0,Resistant
p6.A10,p23.B8,R,O,R,1,Partially Sensitive
p6.A10,p23.B8 no MMC,R,R,R,0,Resistant
p6.A10,p25.A12,S,S,S,9,Sensitive
p6.A10,p25.A12 no MMC,O,O,O,3,Partially Sensitive
p6.A10,p25.A12 KO,R,R,R,0,Resistant
p6.A10,p25.A12 KO no MMC,R,R,R,0,Resistant
p27.F2,p21.F9,R,O,R,1,Partially Sensitive
p27.F2,p21.F9 no MMC,R,R,R,0,Resistant
p27.F2,p25.C2,R,O,R,1,Partially Sensitive
p27.F2,p25.C2 no MMC,R,R,R,0,Resistant
p27.F2,p5.D5,R,O,R,1,Partially Sensitive
p27.F2,p5.D5 no MMC,R,R,R,0,Resistant
p27.F2,p26.D6,O,R,R,1,Partially Sensitive
p27.F2,p26.D6 no MMC,R,R,R,0,Resistant
p27.F2,p23.B8,R,O,R,1,Partially Sensitive
p27.F2,p23.B8 no MMC,R,R,R,0,Resistant
p27.F2,p25.A12,R,O,R,1,Partially Sensitive
p27.F2,p25.A12 no MMC,R,R,R,0,Resistant
p27.F2,p25.A12 KO,R,R,R,0,Resistant
p27.F2,p25.A12 KO no MMC,R,R,R,0,Resistant
p20.D4,p21.F9,R,R,S,3,Partially Sensitive
p20.D4,p21.F9 no MMC,O,R,R,1,Partially Sensitive
p20.D4,p25.C2,R,R,R,0,Resistant
p20.D4,p25.C2 no MMC,R,R,R,0,Resistant
p20.D4,p5.D5,S,R,R,3,Partially Sensitive
p20.D4,p5.D5 no MMC,R,R,R,0,Resistant
p20.D4,p26.D6,phage,R,phage,NA,NA
p20.D4,p26.D6 no MMC,R,R,R,0,Resistant
p20.D4,p23.B8,R,R,R,0,Resistant
p20.D4,p23.B8 no MMC,R,R,R,0,Resistant
p20.D4,p25.A12,S,S,S,9,Sensitive
p20.D4,p25.A12 no MMC,O,O,O,3,Partially Sensitive
p20.D4,p25.A12 KO,R,R,R,0,Resistant
p20.D4,p25.A12 KO no MMC,R,R,R,0,Resistant
p22.C1,p21.F9,R,R,R,0,Resistant
p22.C1,p21.F9 no MMC,R,R,R,0,Resistant
p22.C1,p25.C2,R,R,R,0,Resistant
p22.C1,p25.C2 no MMC,R,R,R,0,Resistant
p22.C1,p5.D5,R,R,R,0,Resistant
p22.C1,p5.D5 no MMC,R,R,R,0,Resistant
p22.C1,p26.D6,R,R,R,0,Resistant
p22.C1,p26.D6 no MMC,R,R,R,0,Resistant
p22.C1,p23.B8,R,R,R,0,Resistant
p22.C1,p23.B8 no MMC,R,R,R,0,Resistant
p22.C1,p25.A12,R,R,R,0,Resistant
p22.C1,p25.A12 no MMC,R,R,R,0,Resistant
p22.C1,p25.A12 KO,R,R,R,0,Resistant
p22.C1,p25.A12 KO no MMC,R,R,R,0,Resistant
p3.F8,p21.F9,R,R,O,1,Partially Sensitive
p3.F8,p21.F9 no MMC,R,R,R,0,Resistant
p3.F8,p25.C2,O,R,O,2,Partially Sensitive
p3.F8,p25.C2 no MMC,R,R,R,0,Resistant
p3.F8,p5.D5,O,R,O,2,Partially Sensitive
p3.F8,p5.D5 no MMC,O,R,R,1,Partially Sensitive
p3.F8,p26.D6,O,R,R,1,Partially Sensitive
p3.F8,p26.D6 no MMC,O,R,R,1,Partially Sensitive
p3.F8,p23.B8,O,R,R,1,Partially Sensitive
p3.F8,p23.B8 no MMC,R,R,R,0,Resistant
p3.F8,p25.A12,S,S,S,9,Sensitive
p3.F8,p25.A12 no MMC,S,O,R,4,Mostly Sensitive
p3.F8,p25.A12 KO,O,R,R,1,Partially Sensitive
p3.F8,p25.A12 KO no MMC,R,R,R,0,Resistant
p25.C11,p21.F9,R,R,R,0,Resistant
p25.C11,p21.F9 no MMC,R,R,R,0,Resistant
p25.C11,p25.C2,O,R,R,1,Partially Sensitive
p25.C11,p25.C2 no MMC,O,R,R,1,Partially Sensitive
p25.C11,p5.D5,SC,R,R,2,Partially Sensitive
p25.C11,p5.D5 no MMC,R,R,R,0,Resistant
p25.C11,p26.D6,phage,phage,phage,NA,NA
p25.C11,p26.D6 no MMC,O,SC,S,6,Mostly Sensitive
p25.C11,p23.B8,SC,R,R,2,Partially Sensitive
p25.C11,p23.B8 no MMC,R,R,R,0,Resistant
p25.C11,p25.A12,S,S,S,9,Sensitive
p25.C11,p25.A12 no MMC,S,O,R,4,Mostly Sensitive
p25.C11,p25.A12 KO,R,R,R,0,Resistant
p25.C11,p25.A12 KO no MMC,R,R,R,0,Resistant
p22.D1,p21.F9,R,R,R,0,Resistant
p22.D1,p21.F9 no MMC,R,R,R,0,Resistant
p22.D1,p25.C2,R,R,R,0,Resistant
p22.D1,p25.C2 no MMC,R,R,R,0,Resistant
p22.D1,p5.D5,O,R,O,2,Partially Sensitive
p22.D1,p5.D5 no MMC,R,R,R,0,Resistant
p22.D1,p26.D6,phage,phage,phage,NA,NA
p22.D1,p26.D6 no MMC,O,SC,S,6,Mostly Sensitive
p22.D1,p23.B8,O,R,R,1,Partially Sensitive
p22.D1,p23.B8 no MMC,R,R,R,0,Resistant
p22.D1,p25.A12,S,S,S,9,Sensitive
p22.D1,p25.A12 no MMC,S,R,O,4,Mostly Sensitive
p22.D1,p25.A12 KO,R,R,R,0,Resistant
p22.D1,p25.A12 KO no MMC,R,R,R,0,Resistant
p3.A3,p21.F9,S,R,O,4,Mostly Sensitive
p3.A3,p21.F9 no MMC,O,R,R,1,Partially Sensitive
p3.A3,p25.C2,S,R,O,4,Mostly Sensitive
p3.A3,p25.C2 no MMC,S,R,R,3,Partially Sensitive
p3.A3,p5.D5,S,R,O,4,Mostly Sensitive
p3.A3,p5.D5 no MMC,S,R,R,3,Partially Sensitive
p3.A3,p26.D6,SC,R,O,3,Partially Sensitive
p3.A3,p26.D6 no MMC,S,R,R,3,Partially Sensitive
p3.A3,p23.B8,S,R,R,3,Partially Sensitive
p3.A3,p23.B8 no MMC,R,R,R,0,Resistant
p3.A3,p25.A12,S,S,S,9,Sensitive
p3.A3,p25.A12 no MMC,S,O,O,5,Mostly Sensitive
p3.A3,p25.A12 KO,SC,R,R,2,Partially Sensitive
p3.A3,p25.A12 KO no MMC,SC,R,R,2,Partially Sensitive
p13.F5,p21.F9,R,R,R,0,Resistant
p13.F5,p21.F9 no MMC,R,R,R,0,Resistant
p13.F5,p25.C2,R,R,R,0,Resistant
p13.F5,p25.C2 no MMC,R,R,R,0,Resistant
p13.F5,p5.D5,R,R,R,0,Resistant
p13.F5,p5.D5 no MMC,R,R,R,0,Resistant
p13.F5,p26.D6,R,R,R,0,Resistant
p13.F5,p26.D6 no MMC,R,R,R,0,Resistant
p13.F5,p23.B8,R,R,R,0,Resistant
p13.F5,p23.B8 no MMC,R,R,R,0,Resistant
p13.F5,p25.A12,R,R,R,0,Resistant
p13.F5,p25.A12 no MMC,R,R,R,0,Resistant
p13.F5,p25.A12 KO,R,R,R,0,Resistant
p13.F5,p25.A12 KO no MMC,R,R,R,0,Resistant
p8.B3,p21.F9,R,R,R,0,Resistant
p8.B3,p21.F9 no MMC,R,R,R,0,Resistant
p8.B3,p25.C2,R,R,R,0,Resistant
p8.B3,p25.C2 no MMC,R,R,R,0,Resistant
p8.B3,p5.D5,R,R,R,0,Resistant
p8.B3,p5.D5 no MMC,R,R,R,0,Resistant
p8.B3,p26.D6,R,O,R,1,Partially Sensitive
p8.B3,p26.D6 no MMC,R,R,R,0,Resistant
p8.B3,p23.B8,R,O,R,1,Partially Sensitive
p8.B3,p23.B8 no MMC,R,R,R,0,Resistant
p8.B3,p25.A12,S,S,S,9,Sensitive
p8.B3,p25.A12 no MMC,R,R,O,1,Partially Sensitive
p8.B3,p25.A12 KO,R,R,R,0,Resistant
p8.B3,p25.A12 KO no MMC,R,R,R,0,Resistant
p25.D2,p21.F9,R,R,R,0,Resistant
p25.D2,p21.F9 no MMC,R,R,R,0,Resistant
p25.D2,p25.C2,O,O,O,3,Partially Sensitive
p25.D2,p25.C2 no MMC,R,R,R,0,Resistant
p25.D2,p5.D5,S,O,O,5,Mostly Sensitive
p25.D2,p5.D5 no MMC,S,R,R,3,Partially Sensitive
p25.D2,p26.D6,O,O,O,3,Partially Sensitive
p25.D2,p26.D6 no MMC,O,R,R,1,Partially Sensitive
p25.D2,p23.B8,O,O,R,2,Partially Sensitive
p25.D2,p23.B8 no MMC,R,R,R,0,Resistant
p25.D2,p25.A12,S,S,S,9,Sensitive
p25.D2,p25.A12 no MMC,S,O,O,5,Mostly Sensitive
p25.D2,p25.A12 KO,R,R,R,0,Resistant
p25.D2,p25.A12 KO no MMC,R,R,R,0,Resistant
p6.B9,p21.F9,R,O,SC,3,Partially Sensitive
p6.B9,p21.F9 no MMC,R,R,R,0,Resistant
p6.B9,p25.C2,O,O,SC,4,Mostly Sensitive
p6.B9,p25.C2 no MMC,R,R,R,0,Resistant
p6.B9,p5.D5,O,SC,SC,5,Mostly Sensitive
p6.B9,p5.D5 no MMC,R,R,R,0,Resistant
p6.B9,p26.D6,R,SC,SC,4,Mostly Sensitive
p6.B9,p26.D6 no MMC,R,R,R,0,Resistant
p6.B9,p23.B8,R,SC,R,2,Partially Sensitive
p6.B9,p23.B8 no MMC,R,R,R,0,Resistant
p6.B9,p25.A12,S,S,SC,8,Sensitive
p6.B9,p25.A12 no MMC,SC,R,O,3,Partially Sensitive
p6.B9,p25.A12 KO,R,R,R,0,Resistant
p6.B9,p25.A12 KO no MMC,R,R,R,0,Resistant
p23.A3,p21.F9,O,SC,O,4,Mostly Sensitive
p23.A3,p21.F9 no MMC,R,SC,R,2,Partially Sensitive
p23.A3,p25.C2,O,SC,O,4,Mostly Sensitive
p23.A3,p25.C2 no MMC,R,R,R,0,Resistant
p23.A3,p5.D5,O,SC,O,4,Mostly Sensitive
p23.A3,p5.D5 no MMC,R,R,R,0,Resistant
p23.A3,p26.D6,phage,SC,phage,NA,NA
p23.A3,p26.D6 no MMC,R,R,R,0,Resistant
p23.A3,p23.B8,O,SC,R,3,Partially Sensitive
p23.A3,p23.B8 no MMC,R,R,R,0,Resistant
p23.A3,p25.A12,R,SC,R,2,Partially Sensitive
p23.A3,p25.A12 no MMC,R,R,R,0,Resistant
p23.A3,p25.A12 KO,O,R,R,1,Partially Sensitive
p23.A3,p25.A12 KO no MMC,R,R,R,0,Resistant
p3.G9,p21.F9,R,R,R,0,Resistant
p3.G9,p21.F9 no MMC,R,R,R,0,Resistant
p3.G9,p25.C2,R,R,R,0,Resistant
p3.G9,p25.C2 no MMC,R,R,R,0,Resistant
p3.G9,p5.D5,R,R,R,0,Resistant
p3.G9,p5.D5 no MMC,R,R,R,0,Resistant
p3.G9,p26.D6,R,R,R,0,Resistant
p3.G9,p26.D6 no MMC,R,R,R,0,Resistant
p3.G9,p23.B8,R,R,R,0,Resistant
p3.G9,p23.B8 no MMC,R,R,R,0,Resistant
p3.G9,p25.A12,R,R,R,0,Resistant
p3.G9,p25.A12 no MMC,R,R,R,0,Resistant
p3.G9,p25.A12 KO,R,R,R,0,Resistant
p3.G9,p25.A12 KO no MMC,R,R,R,0,Resistant
p25.A12,p21.F9,R,R,R,0,Resistant
p25.A12,p21.F9 no MMC,R,R,R,0,Resistant
p25.A12,p25.C2,O,R,R,1,Partially Sensitive
p25.A12,p25.C2 no MMC,R,R,R,0,Resistant
p25.A12,p5.D5,O,R,R,1,Partially Sensitive
p25.A12,p5.D5 no MMC,R,R,R,0,Resistant
p25.A12,p26.D6,O,R,R,1,Partially Sensitive
p25.A12,p26.D6 no MMC,R,R,R,0,Resistant
p25.A12,p23.B8,O,R,R,1,Partially Sensitive
p25.A12,p23.B8 no MMC,R,R,R,0,Resistant
p25.A12,p25.A12,R,R,R,0,Resistant
p25.A12,p25.A12 no MMC,R,R,R,0,Resistant
p25.A12,p25.A12 KO,R,R,R,0,Resistant
p25.A12,p25.A12 KO no MMC,R,R,R,0,Resistant
p25.C2,p21.F9,O,SC,R,3,Partially Sensitive
