"","phage1","phage2","phage3","phage4","phage5","phage6","phage7","phage8"
"p1.A10","3","2",NA,NA,NA,NA,NA,NA
"p1.A11","1","2",NA,NA,NA,NA,NA,NA
"p1.A12","2",NA,NA,NA,NA,NA,NA,NA
"p1.A2","4","2","1","1",NA,NA,NA,NA
"p1.A3","2",NA,NA,NA,NA,NA,NA,NA
"p1.A4","2",NA,NA,NA,NA,NA,NA,NA
"p1.A5","2",NA,NA,NA,NA,NA,NA,NA
"p1.A7","2",NA,NA,NA,NA,NA,NA,NA
"p1.A8","3","2",NA,NA,NA,NA,NA,NA
"p1.A9","3","2",NA,NA,NA,NA,NA,NA
"p1.B1","1","4","2",NA,NA,NA,NA,NA
"p1.B10","2","3",NA,NA,NA,NA,NA,NA
"p1.B11","1","2",NA,NA,NA,NA,NA,NA
"p1.B12","1","2",NA,NA,NA,NA,NA,NA
"p1.B2","2","4","1",NA,NA,NA,NA,NA
"p1.B3","2",NA,NA,NA,NA,NA,NA,NA
"p1.B4","2",NA,NA,NA,NA,NA,NA,NA
"p1.B5","2",NA,NA,NA,NA,NA,NA,NA
"p1.B6","2",NA,NA,NA,NA,NA,NA,NA
"p1.B7","2",NA,NA,NA,NA,NA,NA,NA
"p1.B8","3","2",NA,NA,NA,NA,NA,NA
"p1.B9","3","2",NA,NA,NA,NA,NA,NA
"p1.C1","2","4",NA,NA,NA,NA,NA,NA
"p1.C10","2",NA,NA,NA,NA,NA,NA,NA
"p1.C11","2",NA,NA,NA,NA,NA,NA,NA
"p1.C12","1","4","3","2",NA,NA,NA,NA
"p1.C2","2",NA,NA,NA,NA,NA,NA,NA
"p1.C3","2",NA,NA,NA,NA,NA,NA,NA
"p1.C4","2",NA,NA,NA,NA,NA,NA,NA
"p1.C5","4","2",NA,NA,NA,NA,NA,NA
"p1.C6","2",NA,NA,NA,NA,NA,NA,NA
"p1.C7","2",NA,NA,NA,NA,NA,NA,NA
"p1.C8","4","2",NA,NA,NA,NA,NA,NA
"p1.C9","2",NA,NA,NA,NA,NA,NA,NA
"p1.D1","3","2",NA,NA,NA,NA,NA,NA
"p1.D10","2",NA,NA,NA,NA,NA,NA,NA
"p1.D11","2",NA,NA,NA,NA,NA,NA,NA
"p1.D12","3","2","1","4",NA,NA,NA,NA
"p1.D2","2",NA,NA,NA,NA,NA,NA,NA
"p1.D3","2",NA,NA,NA,NA,NA,NA,NA
"p1.D4","2",NA,NA,NA,NA,NA,NA,NA
"p1.D5","2","3",NA,NA,NA,NA,NA,NA
"p1.D6","2",NA,NA,NA,NA,NA,NA,NA
"p1.D7","2",NA,NA,NA,NA,NA,NA,NA
"p1.D8","2","1","4","1",NA,NA,NA,NA
"p1.D9","2",NA,NA,NA,NA,NA,NA,NA
"p1.E1","4","1","2","4",NA,NA,NA,NA
"p1.E3","3","2",NA,NA,NA,NA,NA,NA
"p1.E4","3","2",NA,NA,NA,NA,NA,NA
"p1.E5","2","1",NA,NA,NA,NA,NA,NA
"p1.E6","1",NA,NA,NA,NA,NA,NA,NA
"p1.E7","2","1",NA,NA,NA,NA,NA,NA
"p1.E8","2","1",NA,NA,NA,NA,NA,NA
"p1.F1","4","1",NA,NA,NA,NA,NA,NA
"p1.F10","2",NA,NA,NA,NA,NA,NA,NA
"p1.F12","4","2",NA,NA,NA,NA,NA,NA
"p1.F2","1","4",NA,NA,NA,NA,NA,NA
"p1.F3","2","3",NA,NA,NA,NA,NA,NA
"p1.F4","3","2",NA,NA,NA,NA,NA,NA
"p1.F5","2",NA,NA,NA,NA,NA,NA,NA
"p1.F7","2",NA,NA,NA,NA,NA,NA,NA
"p1.F8","2",NA,NA,NA,NA,NA,NA,NA
"p1.F9","2","1",NA,NA,NA,NA,NA,NA
"p1.G1","3","2",NA,NA,NA,NA,NA,NA
"p1.G11","2","3",NA,NA,NA,NA,NA,NA
"p1.G12","1","4","3",NA,NA,NA,NA,NA
"p1.G2","1","1","2",NA,NA,NA,NA,NA
"p1.G3","2","3","1","4",NA,NA,NA,NA
"p1.G4","2","4",NA,NA,NA,NA,NA,NA
"p1.G5","3","2",NA,NA,NA,NA,NA,NA
"p1.G6","2",NA,NA,NA,NA,NA,NA,NA
"p1.G7","2",NA,NA,NA,NA,NA,NA,NA
"p1.G8","4","1","3","2",NA,NA,NA,NA
"p1.G9","2","3","1","4",NA,NA,NA,NA
"p1.H1","3","2",NA,NA,NA,NA,NA,NA
"p1.H11","2",NA,NA,NA,NA,NA,NA,NA
"p1.H12","2",NA,NA,NA,NA,NA,NA,NA
"p1.H2","4","3","2",NA,NA,NA,NA,NA
"p1.H3","1","1","2",NA,NA,NA,NA,NA
"p1.H4","2","4","3",NA,NA,NA,NA,NA
"p1.H5","2",NA,NA,NA,NA,NA,NA,NA
"p1.H6","2",NA,NA,NA,NA,NA,NA,NA
"p1.H7","4","3","2",NA,NA,NA,NA,NA
"p1.H8","2","1",NA,NA,NA,NA,NA,NA
"p1.H9","2",NA,NA,NA,NA,NA,NA,NA
"p11.A1","2",NA,NA,NA,NA,NA,NA,NA
"p11.A10","2","3",NA,NA,NA,NA,NA,NA
"p11.A11","2","3",NA,NA,NA,NA,NA,NA
"p11.A12","2","1",NA,NA,NA,NA,NA,NA
"p11.A2","2","1","4",NA,NA,NA,NA,NA
"p11.A3","2",NA,NA,NA,NA,NA,NA,NA
"p11.A4","1","1",NA,NA,NA,NA,NA,NA
"p11.A5","2",NA,NA,NA,NA,NA,NA,NA
"p11.A6","4",NA,NA,NA,NA,NA,NA,NA
"p11.A7","2",NA,NA,NA,NA,NA,NA,NA
"p11.A8","3","2","4",NA,NA,NA,NA,NA
"p11.A9","4","4","1","2",NA,NA,NA,NA
