Strain,HP12_haplotype
11_p1.G6,"p25.C2, 280 strains"
44_p9.B3,"p25.C2, 280 strains"
66_p25.C4,"p25.C2, 280 strains"
1212_p8.E9,"p25.C2, 280 strains"
1515_p5.H7,"p25.C2, 280 strains"
1919_p9.E8,"p25.C2, 280 strains"
3434_p26.H7,"p25.C2, 280 strains"
3838_p4.E9,"p25.C2, 280 strains"
4141_p7.B6,"p25.C2, 280 strains"
4343_p8.D9,"p25.C2, 280 strains"
4444_p6.A5,"p25.C2, 280 strains"
4545_p25.F2,"p25.C2, 280 strains"
4848_p1.H5,"p25.C2, 280 strains"
5454_p13.G8,"p25.C2, 280 strains"
5555_p4.C7,"p25.C2, 280 strains"
5656_p1.D11,"p25.C2, 280 strains"
5959_p9.G1,"p25.C2, 280 strains"
6060_p3.A4,"p25.C2, 280 strains"
6565_p8.A9,"p25.C2, 280 strains"
6666_p5.D10,"p25.C2, 280 strains"
6767_p26.B10,"p25.C2, 280 strains"
7272_p2.A5,"p25.C2, 280 strains"
7474_p6.D9,"p25.C2, 280 strains"
7777_p11.E10,"p25.C2, 280 strains"
8888_p5.H8,"p25.C2, 280 strains"
9090_p8.B2,"p25.C2, 280 strains"
9494_p2.D9,"p25.C2, 280 strains"
9595_p7.F12,"p25.C2, 280 strains"
9696_p7.G7,"p25.C2, 280 strains"
9898_p7.C7,"p25.C2, 280 strains"
100100_p25.C2,"p25.C2, 280 strains"
104104_p5.C9,"p25.C2, 280 strains"
116116_p11.C1,"p25.C2, 280 strains"
117117_p2.B2,"p25.C2, 280 strains"
118118_p3.F11,"p25.C2, 280 strains"
121121_p9.B6,"p25.C2, 280 strains"
124124_p12.G3,"p25.C2, 280 strains"
127127_p3.A7,"p25.C2, 280 strains"
130130_p12.G2,"p25.C2, 280 strains"
132132_p2.B7,"p25.C2, 280 strains"
139139_p13.A3,"p25.C2, 280 strains"
146146_p5.A4,"p25.C2, 280 strains"
147147_p24.C4,"p25.C2, 280 strains"
149149_p7.D8,"p25.C2, 280 strains"
150150_p27.C6,"p25.C2, 280 strains"
163163_p7.C9,"p25.C2, 280 strains"
164164_p2.C2,"p25.C2, 280 strains"
166166_p21.G4,"p25.C2, 280 strains"
167167_p3.D10,"p25.C2, 280 strains"
168168_p11.B2,"p25.C2, 280 strains"
170170_p26.G8,"p25.C2, 280 strains"
173173_p1.A7,"p25.C2, 280 strains"
174174_p13.G2,"p25.C2, 280 strains"
175175_p12.E1,"p25.C2, 280 strains"
177177_p1.G9,"p25.C2, 280 strains"
179179_p20.F1,"p25.C2, 280 strains"
181181_p5.C8,"p25.C2, 280 strains"
184184_p25.H5,"p25.C2, 280 strains"
186186_p7.H1,"p25.C2, 280 strains"
188188_p1.G7,"p25.C2, 280 strains"
193193_p5.G6,"p25.C2, 280 strains"
