Time [s],Media,Buffer,WT_0.05,KO_0.05
0,0.0547,0.10105,0.2901,0.2351
919.886,0.0547,0.1027,0.32265,0.2254
1844.824,0.0544,0.106,0.3574,0.20645
2769.836,0.05465,0.1065,0.3509,0.20505
3694.829,0.05455,0.1087,0.31165,0.2223
4619.792,0.05465,0.11185,0.3072,0.24235
5544.76,0.05455,0.1145,0.3159,0.22425
6469.723,0.05465,0.1183,0.3132,0.21545
7394.706,0.05465,0.1231,0.3133,0.21205
8319.684,0.05455,0.12735,0.3119,0.20675
9244.645,0.0546,0.1341,0.31805,0.20865
10169.593,0.0546,0.1405,0.32345,0.21405
11094.616,0.05445,0.1485,0.33015,0.21885
12019.59,0.0546,0.15795,0.33285,0.22455
12944.521,0.05445,0.16885,0.3313,0.2339
13869.512,0.05435,0.18335,0.32595,0.2449
14794.48,0.05445,0.19965,0.3182,0.2541
15719.44,0.05445,0.2176,0.28105,0.26385
16644.416,0.0544,0.2382,0.2772,0.2807
17569.394,0.05445,0.25955,0.2647,0.29295
18494.356,0.05435,0.278,0.2445,0.3106
19419.377,0.0542,0.3017,0.2409,0.3312
20344.378,0.05435,0.3251,0.2185,0.3495
21269.326,0.05435,0.34895,0.2067,0.3713
22194.313,0.05435,0.37095,0.19075,0.39485
23119.269,0.0543,0.3911,0.18715,0.4224
24044.249,0.0544,0.40905,0.1826,0.44785
24969.224,0.0542,0.43035,0.20545,0.4763
25894.162,0.05425,0.4464,0.19275,0.5055
26819.119,0.0544,0.4683,0.1855,0.5347
27744.123,0.0543,0.49165,0.17595,0.56665
28669.047,0.0542,0.5143,0.18345,0.5988
29594.001,0.05425,0.54075,0.18975,0.62655
30519.012,0.05425,0.5738,0.1711,0.65685
31443.972,0.05425,0.60645,0.17295,0.6864
32368.947,0.05425,0.64925,0.16275,0.71305
33293.921,0.0544,0.68525,0.1787,0.74525
34218.868,0.0544,0.72405,0.18615,0.77455
35143.852,0.0544,0.75735,0.18315,0.8003
36068.805,0.0544,0.7895,0.1921,0.8287
36993.728,0.05425,0.81285,0.17965,0.84585
37918.658,0.05445,0.84025,0.19095,0.8745
38843.671,0.0542,0.86135,0.17435,0.8886
39768.602,0.05415,0.87985,0.18855,0.9142
40693.519,0.0544,0.90485,0.17015,0.9418
41618.513,0.05435,0.922,0.1882,0.97065
42543.485,0.05425,0.93695,0.1767,0.9863
43468.461,0.0543,0.95585,0.1853,1.00555
44393.386,0.0545,0.9759,0.18725,1.03155
45318.342,0.05435,0.9854,0.16935,1.0509
46243.35,0.05435,1.0084,0.18605,1.0681
47168.287,0.0543,1.024,0.18035,1.0952
48093.294,0.05435,1.03155,0.1826,1.12215
49018.32,0.0544,1.0494,0.18705,1.12685
49943.269,0.0544,1.0654,0.17435,1.14775
50868.183,0.05445,1.0748,0.18975,1.16685
51793.164,0.0545,1.0738,0.25275,1.1732
52718.13,0.05445,1.085,0.2316,1.1872
53643.18,0.05445,1.0805,0.2013,1.1873
54568.121,0.0545,1.08735,0.20285,1.2152
55493.076,0.0544,1.09395,0.205,1.23315
56418.102,0.05445,1.11155,0.19275,1.2483
57343.098,0.0545,1.127,0.21275,1.26645
58268.018,0.0544,1.12935,0.21245,1.28355
59192.999,0.0544,1.13815,0.22265,1.2926
60117.972,0.0544,1.1622,0.2274,1.311
61042.956,0.05445,1.1843,0.2331,1.3185
61967.917,0.05435,1.19415,0.25315,1.3177
62892.871,0.05455,1.2035,0.3164,1.3266
63817.808,0.0546,1.2112,0.3,1.33585
64742.807,0.0544,1.2107,0.2863,1.34015
65667.697,0.05445,1.2148,0.26915,1.3512
66592.696,0.0546,1.22635,0.29975,1.35445
67517.658,0.05445,1.2348,0.2999,1.35345
68442.645,0.05445,1.2387,0.29195,1.3616
69367.638,0.0545,1.24615,0.35915,1.37015
70292.579,0.0545,1.24645,0.4091,1.36775
71217.549,0.0545,1.25025,0.3948,1.3734
72142.575,0.05455,1.2602,0.40575,1.371
73067.511,0.05455,1.2675,0.4429,1.3848
