Gene_1	Gene_2	dnds	dN	dS
p26.A2	p23.H1	0.0714	0.0055	0.0772
p26.F2	p23.H1	0.0714	0.0055	0.0772
p26.G7	p26.A2	0.0714	0.0055	0.0772
p26.G7	p26.F2	0.0714	0.0055	0.0772
p2.B9	p23.H1	0.1070	0.0083	0.0774
p2.B9	p26.G7	0.1070	0.0083	0.0774
p3.C8	p23.H1	0.0714	0.0055	0.0772
p3.C8	p26.G7	0.0714	0.0055	0.0772
p6.G8	p23.H1	0.1004	0.0111	0.1102
p6.G8	p26.A2	0.2923	0.0110	0.0378
p6.G8	p26.F2	0.2923	0.0110	0.0378
p6.G8	p26.G7	0.1004	0.0111	0.1102
p6.G8	p2.B9	0.3650	0.0138	0.0379
p6.G8	p3.C8	0.2923	0.0110	0.0378
p5.F9	p23.H1	0.0714	0.0055	0.0772
p5.F9	p26.G7	0.0714	0.0055	0.0772
p5.F9	p6.G8	0.2923	0.0110	0.0378
p3.F1	p23.H1	0.0714	0.0055	0.0772
p3.F1	p26.G7	0.0714	0.0055	0.0772
p3.F1	p6.G8	0.2923	0.0110	0.0378
p13.H12	p23.H1	0.1982	0.0138	0.0698
p13.H12	p26.A2	0.2211	0.0138	0.0624
p13.H12	p26.F2	0.2211	0.0138	0.0624
p13.H12	p26.G7	0.1982	0.0138	0.0698
p13.H12	p2.B9	0.2649	0.0166	0.0626
p13.H12	p3.C8	0.2211	0.0138	0.0624
p13.H12	p6.G8	0.2754	0.0194	0.0704
p13.H12	p5.F9	0.2211	0.0138	0.0624
p13.H12	p3.F1	0.2211	0.0138	0.0624
p24.B8	p23.H1	0.1019	0.0111	0.1091
p24.B8	p26.A2	0.3751	0.0111	0.0297
p24.B8	p26.F2	0.3751	0.0111	0.0297
p24.B8	p26.G7	0.1019	0.0111	0.1091
p24.B8	p2.B9	0.4688	0.0139	0.0297
p24.B8	p3.C8	0.3751	0.0111	0.0297
p24.B8	p6.G8	0.3164	0.0167	0.0529
p24.B8	p5.F9	0.3751	0.0111	0.0297
p24.B8	p3.F1	0.3751	0.0111	0.0297
p24.B8	p13.H12	0.2064	0.0195	0.0945
p11.H6	p26.A2	0.0714	0.0055	0.0772
p11.H6	p26.F2	0.0714	0.0055	0.0772
p11.H6	p2.B9	0.1070	0.0083	0.0774
p11.H6	p3.C8	0.0714	0.0055	0.0772
p11.H6	p6.G8	0.1004	0.0111	0.1102
p11.H6	p5.F9	0.0714	0.0055	0.0772
p11.H6	p3.F1	0.0714	0.0055	0.0772
p11.H6	p13.H12	0.1982	0.0138	0.0698
p11.H6	p24.B8	0.1019	0.0111	0.1091
p4.G8	p23.H1	0.0451	0.0028	0.0610
p4.G8	p26.A2	0.1541	0.0083	0.0537
p4.G8	p26.F2	0.1541	0.0083	0.0537
p4.G8	p26.G7	0.0451	0.0028	0.0610
p4.G8	p2.B9	0.2052	0.0111	0.0539
p4.G8	p3.C8	0.1541	0.0083	0.0537
p4.G8	p6.G8	0.1780	0.0139	0.0778
p4.G8	p5.F9	0.1541	0.0083	0.0537
p4.G8	p3.F1	0.1541	0.0083	0.0537
p4.G8	p13.H12	0.2875	0.0110	0.0384
p4.G8	p24.B8	0.1633	0.0139	0.0852
p4.G8	p11.H6	0.0451	0.0028	0.0610
p20.F12	p23.H1	0.1069	0.0083	0.0774
p20.F12	p26.G7	0.1069	0.0083	0.0774
p20.F12	p6.G8	0.3646	0.0138	0.0379
p20.F12	p13.H12	0.2647	0.0166	0.0626
p20.F12	p24.B8	0.4684	0.0139	0.0297
p20.F12	p11.H6	0.1069	0.0083	0.0774
p20.F12	p4.G8	0.2050	0.0111	0.0539
p4.E1	p23.H1	0.1069	0.0083	0.0774
p4.E1	p26.G7	0.1069	0.0083	0.0774
p4.E1	p6.G8	0.3646	0.0138	0.0379
p4.E1	p13.H12	0.2647	0.0166	0.0626
p4.E1	p24.B8	0.4684	0.0139	0.0297
p4.E1	p11.H6	0.1069	0.0083	0.0774
p4.E1	p4.G8	0.2050	0.0111	0.0539
p25.G10	p26.A2	0.0714	0.0055	0.0772
p25.G10	p26.F2	0.0714	0.0055	0.0772
p25.G10	p2.B9	0.1070	0.0083	0.0774
p25.G10	p3.C8	0.0714	0.0055	0.0772
p25.G10	p6.G8	0.1004	0.0111	0.1102
p25.G10	p5.F9	0.0714	0.0055	0.0772
p25.G10	p3.F1	0.0714	0.0055	0.0772
p25.G10	p13.H12	0.1982	0.0138	0.0698
p25.G10	p24.B8	0.1019	0.0111	0.1091
p25.G10	p4.G8	0.0451	0.0028	0.0610
p25.G10	p20.F12	0.1069	0.0083	0.0774
p25.G10	p4.E1	0.1069	0.0083	0.0774
p4.C10	p26.A2	0.0714	0.0055	0.0772
p4.C10	p26.F2	0.0714	0.0055	0.0772
p4.C10	p2.B9	0.1070	0.0083	0.0774
p4.C10	p3.C8	0.0714	0.0055	0.0772
p4.C10	p6.G8	0.1004	0.0111	0.1102
p4.C10	p5.F9	0.0714	0.0055	0.0772
p4.C10	p3.F1	0.0714	0.0055	0.0772
p4.C10	p13.H12	0.1982	0.0138	0.0698
p4.C10	p24.B8	0.1019	0.0111	0.1091
p4.C10	p4.G8	0.0451	0.0028	0.0610
p4.C10	p20.F12	0.1069	0.0083	0.0774
p4.C10	p4.E1	0.1069	0.0083	0.0774
p25.A2	p23.H1	0.1982	0.0138	0.0698
p25.A2	p26.A2	0.2211	0.0138	0.0624
p25.A2	p26.F2	0.2211	0.0138	0.0624
p25.A2	p26.G7	0.1982	0.0138	0.0698
p25.A2	p2.B9	0.2649	0.0166	0.0626
p25.A2	p3.C8	0.2211	0.0138	0.0624
p25.A2	p6.G8	0.2754	0.0194	0.0704
p25.A2	p5.F9	0.2211	0.0138	0.0624
p25.A2	p3.F1	0.2211	0.0138	0.0624
p25.A2	p24.B8	0.2064	0.0195	0.0945
p25.A2	p11.H6	0.1982	0.0138	0.0698
p25.A2	p4.G8	0.2875	0.0110	0.0384
p25.A2	p20.F12	0.2647	0.0166	0.0626
p25.A2	p4.E1	0.2647	0.0166	0.0626
p25.A2	p25.G10	0.1982	0.0138	0.0698
p25.A2	p4.C10	0.1982	0.0138	0.0698
p7.E4	p23.H1	0.0519	0.0028	0.0530
p7.E4	p26.A2	0.2189	0.0083	0.0378
p7.E4	p26.F2	0.2189	0.0083	0.0378
p7.E4	p26.G7	0.0519	0.0028	0.0530
p7.E4	p2.B9	0.2914	0.0111	0.0380
p7.E4	p3.C8	0.2189	0.0083	0.0378
p7.E4	p6.G8	0.1784	0.0139	0.0777
p7.E4	p5.F9	0.2189	0.0083	0.0378
p7.E4	p3.F1	0.2189	0.0083	0.0378
p7.E4	p13.H12	0.2881	0.0110	0.0383
p7.E4	p24.B8	0.2027	0.0139	0.0687
p7.E4	p11.H6	0.0519	0.0028	0.0530
p7.E4	p4.G8	0.0010	0.0000	0.0148
p7.E4	p20.F12	0.2911	0.0111	0.0380
p7.E4	p4.E1	0.2911	0.0111	0.0380
p7.E4	p25.G10	0.0519	0.0028	0.0530
p7.E4	p4.C10	0.0519	0.0028	0.0530
p7.E4	p25.A2	0.2881	0.0110	0.0383
p8.H7	p23.H1	0.0702	0.0083	0.1184
p8.H7	p26.A2	0.3059	0.0139	0.0454
p8.H7	p26.F2	0.3059	0.0139	0.0454
p8.H7	p26.G7	0.0702	0.0083	0.1184
p8.H7	p2.B9	0.3667	0.0167	0.0455
p8.H7	p3.C8	0.3059	0.0139	0.0454
p8.H7	p6.G8	0.3679	0.0195	0.0531
p8.H7	p5.F9	0.3059	0.0139	0.0454
p8.H7	p3.F1	0.3059	0.0139	0.0454
p8.H7	p13.H12	0.2518	0.0196	0.0779
p8.H7	p24.B8	0.3236	0.0196	0.0606
p8.H7	p11.H6	0.0702	0.0083	0.1184
p8.H7	p4.G8	0.0970	0.0083	0.0857
p8.H7	p20.F12	0.3663	0.0167	0.0456
p8.H7	p4.E1	0.3663	0.0167	0.0456
p8.H7	p25.G10	0.0702	0.0083	0.1184
p8.H7	p4.C10	0.0702	0.0083	0.1184
p8.H7	p25.A2	0.2518	0.0196	0.0779
p8.H7	p7.E4	0.0972	0.0083	0.0856
p23.F9	p23.H1	0.1342	0.0083	0.0616
p23.F9	p26.A2	0.1787	0.0082	0.0461
p23.F9	p26.F2	0.1787	0.0082	0.0461
p23.F9	p26.G7	0.1342	0.0083	0.0616
p23.F9	p2.B9	0.2379	0.0110	0.0463
p23.F9	p3.C8	0.1787	0.0082	0.0461
p23.F9	p6.G8	0.1963	0.0138	0.0703
p23.F9	p5.F9	0.1787	0.0082	0.0461
p23.F9	p3.F1	0.1787	0.0082	0.0461
p23.F9	p13.H12	0.3572	0.0055	0.0153
p23.F9	p24.B8	0.1788	0.0139	0.0776
p23.F9	p11.H6	0.1342	0.0083	0.0616
p23.F9	p4.G8	0.1434	0.0055	0.0383
p23.F9	p20.F12	0.2377	0.0110	0.0463
p23.F9	p4.E1	0.2377	0.0110	0.0463
p23.F9	p25.G10	0.1342	0.0083	0.0616
p23.F9	p4.C10	0.1342	0.0083	0.0616
p23.F9	p25.A2	0.3572	0.0055	0.0153
p23.F9	p7.E4	0.2424	0.0055	0.0227
p23.F9	p8.H7	0.1784	0.0139	0.0780
p27.D6	p23.H1	0.0755	0.0083	0.1101
p27.D6	p26.A2	0.2767	0.0083	0.0300
p27.D6	p26.F2	0.2767	0.0083	0.0300
p27.D6	p26.G7	0.0755	0.0083	0.1101
p27.D6	p2.B9	0.3686	0.0111	0.0301
p27.D6	p3.C8	0.2767	0.0083	0.0300
p27.D6	p6.G8	0.2814	0.0195	0.0693
p27.D6	p5.F9	0.2767	0.0083	0.0300
p27.D6	p3.F1	0.2767	0.0083	0.0300
p27.D6	p13.H12	0.2060	0.0195	0.0949
p27.D6	p24.B8	0.2305	0.0139	0.0605
p27.D6	p11.H6	0.0755	0.0083	0.1101
p27.D6	p4.G8	0.0968	0.0083	0.0859
p27.D6	p20.F12	0.3683	0.0111	0.0301
p27.D6	p4.E1	0.3683	0.0111	0.0301
p27.D6	p25.G10	0.0755	0.0083	0.1101
p27.D6	p4.C10	0.0755	0.0083	0.1101
p27.D6	p25.A2	0.2060	0.0195	0.0949
p27.D6	p7.E4	0.1203	0.0083	0.0693
p27.D6	p8.H7	0.2423	0.0111	0.0457
p27.D6	p23.F9	0.1781	0.0139	0.0781
p25.F1	p23.H1	0.1982	0.0138	0.0698
p25.F1	p26.A2	0.2211	0.0138	0.0624
p25.F1	p26.F2	0.2211	0.0138	0.0624
p25.F1	p26.G7	0.1982	0.0138	0.0698
p25.F1	p2.B9	0.2649	0.0166	0.0626
p25.F1	p3.C8	0.2211	0.0138	0.0624
p25.F1	p6.G8	0.2754	0.0194	0.0704
p25.F1	p5.F9	0.2211	0.0138	0.0624
p25.F1	p3.F1	0.2211	0.0138	0.0624
p25.F1	p24.B8	0.2064	0.0195	0.0945
