Gene_1	Gene_2	dnds	dN	dS
p26.A2	p23.H1	0.0750	0.0100	0.1332
p26.F2	p23.H1	0.0750	0.0100	0.1332
p26.G7	p23.H1	0.5272	0.0110	0.0208
p26.G7	p26.A2	0.0783	0.0097	0.1235
p26.G7	p26.F2	0.0783	0.0097	0.1235
p2.B9	p23.H1	0.0750	0.0100	0.1332
p2.B9	p26.G7	0.0783	0.0097	0.1235
p3.C8	p23.H1	0.0750	0.0100	0.1332
p3.C8	p26.G7	0.0783	0.0097	0.1235
p6.G8	p23.H1	0.3863	0.0286	0.0739
p6.G8	p26.A2	0.1880	0.0271	0.1442
p6.G8	p26.F2	0.1880	0.0271	0.1442
p6.G8	p26.G7	0.3223	0.0223	0.0691
p6.G8	p2.B9	0.1880	0.0271	0.1442
p6.G8	p3.C8	0.1880	0.0271	0.1442
p5.F9	p23.H1	0.0750	0.0100	0.1332
p5.F9	p26.G7	0.0783	0.0097	0.1235
p5.F9	p6.G8	0.1880	0.0271	0.1442
p3.F1	p23.H1	0.0784	0.0099	0.1268
p3.F1	p26.A2	0.0945	0.0048	0.0509
p3.F1	p26.F2	0.0945	0.0048	0.0509
p3.F1	p26.G7	0.0819	0.0096	0.1171
p3.F1	p2.B9	0.0945	0.0048	0.0509
p3.F1	p3.C8	0.0945	0.0048	0.0509
p3.F1	p6.G8	0.1695	0.0269	0.1584
p3.F1	p5.F9	0.0945	0.0048	0.0509
p13.H12	p23.H1	0.0222	0.0024	0.1072
p13.H12	p26.A2	0.1356	0.0078	0.0574
p13.H12	p26.F2	0.1356	0.0078	0.0574
p13.H12	p26.G7	0.1097	0.0126	0.1145
p13.H12	p2.B9	0.1356	0.0078	0.0574
p13.H12	p3.C8	0.1356	0.0078	0.0574
p13.H12	p6.G8	0.1961	0.0303	0.1545
p13.H12	p5.F9	0.1356	0.0078	0.0574
p13.H12	p3.F1	0.1660	0.0127	0.0764
p4.A6	p23.H1	0.0492	0.0050	0.1017
p4.A6	p26.A2	0.0348	0.0048	0.1371
p4.A6	p26.F2	0.0348	0.0048	0.1371
p4.A6	p26.G7	0.0516	0.0047	0.0918
p4.A6	p2.B9	0.0348	0.0048	0.1371
p4.A6	p3.C8	0.0348	0.0048	0.1371
p4.A6	p6.G8	0.1949	0.0218	0.1118
p4.A6	p5.F9	0.0348	0.0048	0.1371
p4.A6	p3.F1	0.0581	0.0047	0.0815
p4.A6	p13.H12	0.0495	0.0074	0.1493
p24.B8	p23.H1	0.0858	0.0052	0.0607
p24.B8	p26.A2	0.0453	0.0048	0.1058
p24.B8	p26.F2	0.0453	0.0048	0.1058
p24.B8	p26.G7	0.0907	0.0048	0.0525
p24.B8	p2.B9	0.0453	0.0048	0.1058
p24.B8	p3.C8	0.0453	0.0048	0.1058
p24.B8	p6.G8	0.2011	0.0219	0.1091
p24.B8	p5.F9	0.0453	0.0048	0.1058
p24.B8	p3.F1	0.0480	0.0048	0.0991
p24.B8	p13.H12	0.0977	0.0076	0.0782
p24.B8	p4.A6	0.0010	0.0001	0.1123
p11.H6	p26.A2	0.0750	0.0100	0.1332
p11.H6	p26.F2	0.0750	0.0100	0.1332
p11.H6	p26.G7	0.5272	0.0110	0.0208
p11.H6	p2.B9	0.0750	0.0100	0.1332
p11.H6	p3.C8	0.0750	0.0100	0.1332
p11.H6	p6.G8	0.3863	0.0286	0.0739
p11.H6	p5.F9	0.0750	0.0100	0.1332
p11.H6	p3.F1	0.0784	0.0099	0.1268
p11.H6	p13.H12	0.0222	0.0024	0.1072
p11.H6	p4.A6	0.0492	0.0050	0.1017
p11.H6	p24.B8	0.0858	0.0052	0.0607
p4.G8	p23.H1	0.0492	0.0050	0.1017
p4.G8	p26.A2	0.0348	0.0048	0.1371
p4.G8	p26.F2	0.0348	0.0048	0.1371
p4.G8	p26.G7	0.0516	0.0047	0.0918
p4.G8	p2.B9	0.0348	0.0048	0.1371
p4.G8	p3.C8	0.0348	0.0048	0.1371
p4.G8	p6.G8	0.1949	0.0218	0.1118
p4.G8	p5.F9	0.0348	0.0048	0.1371
p4.G8	p3.F1	0.0581	0.0047	0.0815
p4.G8	p13.H12	0.0495	0.0074	0.1493
p4.G8	p24.B8	0.0010	0.0001	0.1117
p4.G8	p11.H6	0.0492	0.0050	0.1017
p20.F12	p23.H1	0.0857	0.0100	0.1164
p20.F12	p26.A2	0.1145	0.0048	0.0420
p20.F12	p26.F2	0.1145	0.0048	0.0420
p20.F12	p26.G7	0.0897	0.0096	0.1070
p20.F12	p2.B9	0.1145	0.0048	0.0420
p20.F12	p3.C8	0.1145	0.0048	0.0420
p20.F12	p6.G8	0.1825	0.0269	0.1475
p20.F12	p5.F9	0.1145	0.0048	0.0420
p20.F12	p13.H12	0.1475	0.0126	0.0856
p20.F12	p4.A6	0.0521	0.0047	0.0908
p20.F12	p24.B8	0.0533	0.0048	0.0892
p20.F12	p11.H6	0.0857	0.0100	0.1164
p20.F12	p4.G8	0.0521	0.0047	0.0908
p4.E1	p23.H1	0.0857	0.0100	0.1164
p4.E1	p26.A2	0.1145	0.0048	0.0420
p4.E1	p26.F2	0.1145	0.0048	0.0420
p4.E1	p26.G7	0.0897	0.0096	0.1070
p4.E1	p2.B9	0.1145	0.0048	0.0420
p4.E1	p3.C8	0.1145	0.0048	0.0420
p4.E1	p6.G8	0.1825	0.0269	0.1475
p4.E1	p5.F9	0.1145	0.0048	0.0420
p4.E1	p13.H12	0.1475	0.0126	0.0856
p4.E1	p4.A6	0.0521	0.0047	0.0908
p4.E1	p24.B8	0.0533	0.0048	0.0892
p4.E1	p11.H6	0.0857	0.0100	0.1164
p4.E1	p4.G8	0.0521	0.0047	0.0908
p25.G10	p23.H1	0.5272	0.0110	0.0208
p25.G10	p26.A2	0.0783	0.0097	0.1235
p25.G10	p26.F2	0.0783	0.0097	0.1235
p25.G10	p2.B9	0.0783	0.0097	0.1235
p25.G10	p3.C8	0.0783	0.0097	0.1235
p25.G10	p6.G8	0.3223	0.0223	0.0691
p25.G10	p5.F9	0.0783	0.0097	0.1235
p25.G10	p3.F1	0.0819	0.0096	0.1171
p25.G10	p13.H12	0.1097	0.0126	0.1145
p25.G10	p4.A6	0.0516	0.0047	0.0918
p25.G10	p24.B8	0.0907	0.0048	0.0525
p25.G10	p11.H6	0.5272	0.0110	0.0208
p25.G10	p4.G8	0.0516	0.0047	0.0918
p25.G10	p20.F12	0.0897	0.0096	0.1070
p25.G10	p4.E1	0.0897	0.0096	0.1070
p4.C10	p26.A2	0.0750	0.0100	0.1332
p4.C10	p26.F2	0.0750	0.0100	0.1332
p4.C10	p26.G7	0.5272	0.0110	0.0208
p4.C10	p2.B9	0.0750	0.0100	0.1332
p4.C10	p3.C8	0.0750	0.0100	0.1332
p4.C10	p6.G8	0.3863	0.0286	0.0739
p4.C10	p5.F9	0.0750	0.0100	0.1332
p4.C10	p3.F1	0.0784	0.0099	0.1268
p4.C10	p13.H12	0.0222	0.0024	0.1072
p4.C10	p4.A6	0.0492	0.0050	0.1017
p4.C10	p24.B8	0.0858	0.0052	0.0607
p4.C10	p4.G8	0.0492	0.0050	0.1017
p4.C10	p20.F12	0.0857	0.0100	0.1164
p4.C10	p4.E1	0.0857	0.0100	0.1164
p4.C10	p25.G10	0.5272	0.0110	0.0208
p25.A2	p26.A2	0.0870	0.0125	0.1432
p25.A2	p26.F2	0.0870	0.0125	0.1432
p25.A2	p26.G7	0.4420	0.0133	0.0301
p25.A2	p2.B9	0.0870	0.0125	0.1432
p25.A2	p3.C8	0.0870	0.0125	0.1432
p25.A2	p6.G8	0.3680	0.0309	0.0840
p25.A2	p5.F9	0.0870	0.0125	0.1432
p25.A2	p3.F1	0.1067	0.0125	0.1167
p25.A2	p13.H12	0.0487	0.0048	0.0979
p25.A2	p4.A6	0.0825	0.0075	0.0913
p25.A2	p24.B8	0.1102	0.0077	0.0698
p25.A2	p4.G8	0.0825	0.0075	0.0913
p25.A2	p20.F12	0.0983	0.0124	0.1264
p25.A2	p4.E1	0.0983	0.0124	0.1264
p25.A2	p25.G10	0.4420	0.0133	0.0301
p7.E4	p23.H1	0.0389	0.0050	0.1278
p7.E4	p26.A2	0.0942	0.0048	0.0510
p7.E4	p26.F2	0.0942	0.0048	0.0510
p7.E4	p26.G7	0.0407	0.0048	0.1173
p7.E4	p2.B9	0.0942	0.0048	0.0510
p7.E4	p3.C8	0.0942	0.0048	0.0510
p7.E4	p6.G8	0.1589	0.0219	0.1379
