Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0633	0.0216	0.3416
p23.H1	p11.H9	0.1064	0.0255	0.2392
p23.H1	p12.G7	0.0530	0.0072	0.1364
p26.A2	p11.H9	0.1064	0.0255	0.2392
p26.A2	p12.G7	0.0530	0.0072	0.1364
p26.E9	p11.H9	0.1064	0.0255	0.2392
p26.E9	p12.G7	0.0530	0.0072	0.1364
p26.F2	p11.H9	0.1064	0.0255	0.2392
p26.F2	p12.G7	0.0530	0.0072	0.1364
p26.G7	p11.H9	0.0010	0.0001	0.0793
p26.G7	p12.G7	0.0748	0.0216	0.2893
p26.G7	p23.H1	0.1321	0.0255	0.1931
p26.G7	p26.A2	0.1321	0.0255	0.1931
p26.G7	p26.E9	0.1321	0.0255	0.1931
p26.G7	p26.F2	0.1321	0.0255	0.1931
p2.B9	p11.H9	0.1064	0.0255	0.2392
p2.B9	p12.G7	0.0530	0.0072	0.1364
p2.B9	p26.G7	0.1321	0.0255	0.1931
p3.C1	p11.H9	0.0010	0.0001	0.0780
p3.C1	p12.G7	0.0748	0.0216	0.2893
p3.C1	p23.H1	0.1321	0.0255	0.1931
p3.C1	p26.A2	0.1321	0.0255	0.1931
p3.C1	p26.E9	0.1321	0.0255	0.1931
p3.C1	p26.F2	0.1321	0.0255	0.1931
p3.C1	p2.B9	0.1321	0.0255	0.1931
p3.C8	p11.H9	0.1064	0.0255	0.2392
p3.C8	p12.G7	0.0530	0.0072	0.1364
p3.C8	p26.G7	0.1321	0.0255	0.1931
p3.C8	p3.C1	0.1321	0.0255	0.1931
p6.G8	p11.H9	0.0010	0.0001	0.1174
p6.G8	p12.G7	0.0936	0.0218	0.2332
p6.G8	p23.H1	0.1385	0.0257	0.1856
p6.G8	p26.A2	0.1385	0.0257	0.1856
p6.G8	p26.E9	0.1385	0.0257	0.1856
p6.G8	p26.F2	0.1385	0.0257	0.1856
p6.G8	p26.G7	0.0010	0.0001	0.1166
p6.G8	p2.B9	0.1385	0.0257	0.1856
p6.G8	p3.C1	0.0010	0.0001	0.1166
p6.G8	p3.C8	0.1385	0.0257	0.1856
p7.B1	p11.H9	0.1064	0.0255	0.2392
p7.B1	p12.G7	0.0530	0.0072	0.1364
p7.B1	p26.G7	0.1321	0.0255	0.1931
p7.B1	p3.C1	0.1321	0.0255	0.1931
p7.B1	p6.G8	0.1385	0.0257	0.1856
p25.G7	p11.H9	0.0670	0.0215	0.3212
p25.G7	p12.G7	0.2169	0.0036	0.0165
p25.G7	p23.H1	0.0300	0.0036	0.1196
p25.G7	p26.A2	0.0300	0.0036	0.1196
p25.G7	p26.E9	0.0300	0.0036	0.1196
p25.G7	p26.F2	0.0300	0.0036	0.1196
p25.G7	p26.G7	0.0800	0.0216	0.2696
p25.G7	p2.B9	0.0300	0.0036	0.1196
p25.G7	p3.C1	0.0800	0.0216	0.2696
p25.G7	p3.C8	0.0300	0.0036	0.1196
p25.G7	p6.G8	0.1016	0.0218	0.2143
p25.G7	p7.B1	0.0300	0.0036	0.1196
p24.E1	p11.H9	0.0670	0.0215	0.3212
p24.E1	p12.G7	0.2169	0.0036	0.0165
p24.E1	p23.H1	0.0300	0.0036	0.1196
p24.E1	p26.A2	0.0300	0.0036	0.1196
p24.E1	p26.E9	0.0300	0.0036	0.1196
p24.E1	p26.F2	0.0300	0.0036	0.1196
p24.E1	p26.G7	0.0800	0.0216	0.2696
p24.E1	p2.B9	0.0300	0.0036	0.1196
p24.E1	p3.C1	0.0800	0.0216	0.2696
p24.E1	p3.C8	0.0300	0.0036	0.1196
p24.E1	p6.G8	0.1016	0.0218	0.2143
p24.E1	p7.B1	0.0300	0.0036	0.1196
p5.F9	p11.H9	0.1064	0.0255	0.2392
p5.F9	p12.G7	0.0530	0.0072	0.1364
p5.F9	p26.G7	0.1321	0.0255	0.1931
p5.F9	p3.C1	0.1321	0.0255	0.1931
p5.F9	p6.G8	0.1385	0.0257	0.1856
p5.F9	p25.G7	0.0300	0.0036	0.1196
p5.F9	p24.E1	0.0300	0.0036	0.1196
p1.A9	p11.H9	0.1064	0.0255	0.2392
p1.A9	p12.G7	0.0530	0.0072	0.1364
p1.A9	p26.G7	0.1321	0.0255	0.1931
p1.A9	p3.C1	0.1321	0.0255	0.1931
p1.A9	p6.G8	0.1385	0.0257	0.1856
p1.A9	p25.G7	0.0300	0.0036	0.1196
p1.A9	p24.E1	0.0300	0.0036	0.1196
p3.F1	p11.H9	0.0975	0.0255	0.2610
p3.F1	p12.G7	0.0470	0.0072	0.1541
p3.F1	p23.H1	0.0010	0.0000	0.0154
p3.F1	p26.A2	0.0010	0.0000	0.0157
p3.F1	p26.E9	0.0010	0.0000	0.0154
p3.F1	p26.F2	0.0010	0.0000	0.0157
p3.F1	p26.G7	0.1193	0.0255	0.2139
p3.F1	p2.B9	0.0010	0.0000	0.0154
p3.F1	p3.C1	0.1193	0.0255	0.2139
p3.F1	p3.C8	0.0010	0.0000	0.0157
p3.F1	p6.G8	0.1251	0.0257	0.2055
p3.F1	p7.B1	0.0010	0.0000	0.0154
p3.F1	p25.G7	0.0262	0.0036	0.1372
p3.F1	p24.E1	0.0262	0.0036	0.1372
p3.F1	p5.F9	0.0010	0.0000	0.0154
p3.F1	p1.A9	0.0010	0.0000	0.0154
p6.B2	p11.H9	0.1035	0.0253	0.2449
p6.B2	p12.G7	0.0702	0.0072	0.1026
p6.B2	p23.H1	0.0010	0.0000	0.0322
p6.B2	p26.A2	0.0010	0.0000	0.0322
p6.B2	p26.E9	0.0010	0.0000	0.0322
p6.B2	p26.F2	0.0010	0.0000	0.0322
p6.B2	p26.G7	0.1285	0.0254	0.1976
p6.B2	p2.B9	0.0010	0.0000	0.0318
p6.B2	p3.C1	0.1285	0.0254	0.1976
p6.B2	p3.C8	0.0010	0.0000	0.0317
p6.B2	p6.G8	0.1729	0.0257	0.1484
p6.B2	p7.B1	0.0010	0.0000	0.0321
p6.B2	p25.G7	0.0417	0.0036	0.0857
p6.B2	p24.E1	0.0417	0.0036	0.0857
p6.B2	p5.F9	0.0010	0.0000	0.0322
p6.B2	p1.A9	0.0010	0.0000	0.0322
p6.B2	p3.F1	0.0010	0.0000	0.0485
p24.H5	p11.H9	0.0963	0.0254	0.2637
p24.H5	p12.G7	0.0607	0.0072	0.1191
